Unique ID;Player;Club;Best Pos;Age;Transfer Value;Preferred Foot;Appearances;Minutes;Goals;xG;Shots;ShT;Conv %;Goals per 90 minutes;xG/90;Drb/90
85139014;Kylian Mbappé;R. Madrid;AM (L);27;€199M - €238M;Right-Footed;49;3912;21;21.96;177;72;12%;0.5;0.5;3.9
29179241;Erling Haaland;Man City;ST (C);25;€210M - €229M;Left-Footed;49 (1);4217;34;23.64;203;105;17%;0.7;0.5;1.0
67217524;Rodri;Man City;DM;29;€109M - €163M;Right-Footed;48;3858;2;4.68;38;5;5%;0.0;0.1;0.0
98028755;Mohamed Salah;Liverpool;AM (R);33;€64M - €79M;Left-Footed;50 (1);4329;19;19.11;169;75;11%;0.4;0.4;3.7
28049320;Harry Kane;FC Bayern München;ST (C);32;€71M - €108M;Right-Footed;46;3655;24;19.56;172;83;14%;0.6;0.5;0.6
37024025;Virgil van Dijk;Liverpool;D (C);34;€12M - €14.5M;Right-Footed;55;4928;3;2.26;24;8;13%;0.1;0.0;0.1
29221846;Michael Olise;FC Bayern München;AM (C);24;€109M - €163M;Left-Footed;45 (1);3859;27;17.38;168;68;16%;0.6;0.4;3.3
19302146;Vinícius Júnior;R. Madrid;AM (L);25;€84M - €125M;Right-Footed;46;3900;23;16.67;137;73;17%;0.5;0.4;1.2
55041632;Bernardo Silva;Man City;AM (C);31;€53M - €79M;Left-Footed;51;4310;13;11.61;111;46;12%;0.3;0.2;0.5
18026122;Thibaut Courtois;R. Madrid;GK;34;€38M - €56M;Left-Footed;45;3997;0;0;0;0;0%;0.0;0.0;0.0
18004457;Kevin De Bruyne;Parthenope;AM (C);34;€8.4M - €10M;Right-Footed;30 (1);2043;7;6.3;57;26;12%;0.3;0.3;2.0
2000256231;Lamine Yamal;Barcelona;AM (R);18;€284M - €312M;Left-Footed;47;3807;20;14.36;131;55;15%;0.5;0.3;4.2
67293495;Pedri;Barcelona;M (C);23;€207M - €228M;Right-Footed;52;4383;6;6.83;48;14;13%;0.1;0.1;0.3
28122642;Bukayo Saka;Arsenal;AM (R);24;€160M - €209M;Left-Footed;48 (3);4002;18;19.26;175;67;10%;0.4;0.4;4.0
29232937;Jude Bellingham;R. Madrid;M (C);22;€100M - €120M;Right-Footed;39;2871;9;9.44;83;37;11%;0.3;0.3;0.0
92039023;Joshua Kimmich;FC Bayern München;DM;31;Not for Sale;Right-Footed;47;4088;0;3.19;19;3;0%;0.0;0.1;0.1
55070299;Rúben Dias;Man City;D (C);29;€83M - €103M;Right-Footed;55;4920;0;2.51;22;2;0%;0.0;0.0;0.1
19058734;Alisson;Liverpool;GK;33;Not for Sale;Right-Footed;50;4256;0;0;0;0;0%;0.0;0.0;0.0
28106491;Declan Rice;Arsenal;M (C);27;€135M - €169M;Right-Footed;48;4026;1;2.26;23;5;4%;0.0;0.1;0.1
85140178;Ousmane Dembélé;Paris SG;AM (R);29;€316M - €400M;Uses Both Feet;24 (2);1874;11;10.38;82;34;13%;0.5;0.5;1.8
14110660;Lautaro Martínez;Blu-neri;ST (C);28;€101M - €154M;Right-Footed;41 (1);3529;21;19.04;166;83;13%;0.5;0.5;1.0
91193048;Florian Wirtz;Liverpool;AM (C);23;€235M - €281M;Right-Footed;52;4470;15;17.01;145;55;10%;0.3;0.3;2.0
18106083;Jérémy Doku;Man City;AM (L);24;€83M - €103M;Right-Footed;45;3167;13;9.54;75;34;17%;0.4;0.3;4.1
19242277;Raphinha;Barcelona;AM (L);29;€145M - €174M;Left-Footed;52;4545;19;18.39;164;69;12%;0.4;0.4;3.8
71099053;Andriy Lunin;FC Bayern München;GK;27;€99M - €118M;Right-Footed;21;1950;0;0;0;0;0%;0.0;0.0;0.0
14183207;Julián Álvarez;A. Madrid;ST (C);26;€131M - €164M;Right-Footed;47 (1);4153;25;23.07;207;113;12%;0.5;0.5;1.0
653054;Luka Modrić;Casciavit;M (C);40;€250K - €2.5M;Right-Footed;36 (5);2262;2;1.67;20;9;10%;0.1;0.1;0.0
78074594;Federico Valverde;R. Madrid;DM;27;€77M - €116M;Right-Footed;49;4046;7;4.53;49;20;14%;0.2;0.1;0.0
67228634;Achraf Hakimi;Paris SG;WB (R);27;€238M - €285M;Right-Footed;40;3600;3;4.32;38;13;8%;0.1;0.1;0.8
28108494;Phil Foden;Man City;AM (L);26;€95M - €141M;Left-Footed;46 (2);3705;12;5.93;71;35;17%;0.3;0.1;0.4
48042326;Aurélien Tchouaméni;R. Madrid;DM;26;€72M - €108M;Right-Footed;50;3889;2;2.08;23;3;9%;0.0;0.0;0.2
76049803;Luis Díaz;FC Bayern München;AM (L);29;€82M - €102M;Right-Footed;45 (1);3238;10;12.71;108;36;9%;0.3;0.4;4.6
43252073;Gianluigi Donnarumma;Man City;GK;27;€103M - €123M;Right-Footed;42;3752;0;0;0;0;0%;0.0;0.0;0.0
19306929;Rodrygo;R. Madrid;AM (R);25;€96M - €115M;Right-Footed;49;3802;17;17.56;142;59;12%;0.4;0.4;3.3
719601;Robert Lewandowski;Barcelona;ST (C);37;€3.5M - €6.8M;Right-Footed;42 (2);2964;13;13.9;122;67;11%;0.4;0.4;0.6
49056243;Eduardo Camavinga;R. Madrid;DM;23;€135M - €168M;Left-Footed;41 (7);3671;1;3.64;23;7;4%;0.0;0.1;0.8
19163495;Marquinhos;Paris SG;DM;32;Not for Sale;Right-Footed;39 (4);3332;1;1.03;13;6;8%;0.0;0.0;0.0
83111483;Rafael Leão;Casciavit;AM (L);26;€61M - €76M;Right-Footed;35;2618;14;7.48;71;37;20%;0.5;0.3;1.2
28124579;Jamal Musiala;FC Bayern München;AM (L);23;€131M - €164M;Right-Footed;20 (1);1340;11;4.57;45;20;24%;0.7;0.3;2.1
43124203;Bruno Fernandes;Man Utd;AM (C);31;€90M - €112M;Right-Footed;36 (1);3182;9;10.22;83;34;11%;0.3;0.3;0.8
59130638;Khvicha Kvaratskhelia;Paris SG;AM (L);25;€244M - €308M;Right-Footed;42 (5);3130;16;18.4;142;70;11%;0.5;0.5;4.8
16182894;Dayot Upamecano;FC Bayern München;D (C);27;€56M - €84M;Right-Footed;46 (1);4136;1;1.29;12;1;8%;0.0;0.0;0.0
37047745;Frenkie de Jong;Barcelona;M (C);29;€67M - €81M;Right-Footed;33 (2);2604;1;2.37;20;5;5%;0.0;0.1;0.2
43252460;Alessandro Bastoni;Blu-neri;D (C);27;€66M - €100M;Left-Footed;51;4513;1;1.17;7;2;14%;0.0;0.0;0.0
48036304;Jules Koundé;Barcelona;D (R);27;€51M - €76M;Right-Footed;48;4239;2;1.58;21;7;10%;0.0;0.0;0.8
28108033;Marc Guéhi;Man City;D (C);25;€72M - €87M;Right-Footed;45;4027;0;2.1;14;2;0%;0.0;0.0;0.0
48037335;Marcus Thuram;Blu-neri;ST (C);28;€120M - €150M;Right-Footed;39;2918;17;18.03;148;74;11%;0.5;0.6;1.1
49039004;William Saliba;Arsenal;D (C);25;€86M - €128M;Right-Footed;53;4714;3;4.18;34;16;9%;0.1;0.1;0.1
